Collect_dt,Sampling,Lat,Lon,geometry,DO  ,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,TDS,SS  ,VSS ,TOC ,CN   ,FEC_COL,Chlorophyll-A,Cl,F    ,SO4   ,ALK,As sol,Ba tot,Cu sol,Fe sol,Mn sol,Ni sol,Zn sol,Hg LL,Ca tot,Mg tot,Hardness,B tot,sn_AS,sn_B,sn_CN,sn_BA,sn_FE,sn_HG,sn_MN,sn_CU,sn_NI,sn_ZN,vo_NH3_N,vo_Tot P,vo_TDS,vo_FEC_COL,vo_Cl,vo_F,vo_SO4,vo_As sol,vo_Ba tot,vo_Cu sol,vo_Fe sol,vo_Mn sol,vo_Ni sol,vo_Zn sol,vo_Hg LL,vo_Ca tot,vo_Mg tot,vo_Hardness,vo_B tot,vo_CN,HPI,year,month
2015-02-03,WW_91,41.59656667,-88.06853333,POINT (-88.06853333 41.59656667),14.2,8.05,6.964,0.1,1.0,97.2,4.0,233.0,464.0,0.005,,0.02,0.0433,3.6,5.0,1128.0,0.43,0.183,0.001,0.02,41.8703,0.2,0.005,0.0169,1.94e-06,6.0,,,94.3262,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.209056045196977,2015,2
2015-02-03,WW_92,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),7.2,7.72,5.65,0.83,1.93,122.5,4.0,179.0,403.0,0.005,,0.02,0.0224,4.0,5.0,1018.0,0.72,0.203,0.001,0.02,27.6441,0.2,0.0052,0.0253,,6.0,,,70.4843,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03508437540110871,2015,2
2015-02-09,WW_36,42.01193611,-87.71043611,POINT (-87.71043611 42.01193611),9.8,7.15,5.914,0.94,2.16,65.4,4.0,158.0,777.0,0.005,5.0,0.02,0.0355,3.4,5.0,1540.0,0.52,0.16,0.001,0.02,25.131,0.2,0.005,0.0285,,6.0,,,72.2382,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.421015140491148,2015,2
2015-02-09,WW_73,41.93235833,-87.68288333,POINT (-87.68288333 41.93235833),7.9,7.07,6.43,0.52,1.38,69.99,4.0,155.0,1055.0,0.005,5.0,0.02,0.0399,2.5,5.0,1996.0,0.5,0.119,0.001,0.02,27.6939,0.2,0.005,0.0197,,6.0,,,79.06,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.423714479702298,2015,2
2015-02-09,WW_92,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),7.9,6.93,5.251,1.0,1.85,122.68,4.0,185.0,794.0,0.007,,0.02,0.0247,3.3,5.0,1666.0,0.7,0.195,0.001,0.02,28.654,0.2,0.0054,0.0249,,6.0,,,73.37,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036223658671146,2015,2
2015-02-17,WW_100,41.88750278,-87.63414167,POINT (-87.63414167 41.88750278),11.4,6.25,3.816,0.85,1.46,50.66,4.0,155.0,352.0,0.005,,0.02,0.029,2.8,5.0,780.0,0.37,0.089,0.001,0.02,21.943,0.2,0.005,0.0185,6.457e-06,6.0,,,58.2055,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8036007474509,2015,2
2015-02-17,WW_75,41.819575,-87.74331389,POINT (-87.74331389 41.819575),9.0,6.94,5.628,1.1,1.75,71.66,4.0,171.0,729.0,0.005,5.0,0.02,0.0362,3.2,5.0,1458.0,0.51,0.134,0.001,0.02,28.573,0.2,0.005,0.0249,,6.0,,,77.3333,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42490629269144,2015,2
2015-02-17,WW_41,41.80121111,-87.80188889,POINT (-87.80188889 41.80121111),9.7,7.34,5.088,1.08,1.84,97.88,4.0,168.0,483.0,0.005,5.0,0.02,0.0245,3.9,5.0,1104.0,0.66,0.161,0.001,0.02,26.0318,0.2,0.005,0.0232,,6.0,,,69.8605,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.422102939763588,2015,2
2015-02-17,WW_92,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),7.9,7.05,5.269,1.18,1.87,132.98,4.0,190.0,634.0,0.005,5.0,0.02,0.0302,3.7,5.0,1430.0,0.72,0.186,0.001,0.02,30.6213,0.2,0.005,0.0269,,6.0,,,80.1354,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.427846080553058,2015,2
2015-02-17,WW_48,41.67955,-87.99958889,POINT (-87.99958889 41.67955),7.6,6.9,5.475,1.07,2.15,111.02,4.0,188.0,546.0,0.005,5.0,0.02,0.028,4.0,5.0,1262.0,0.64,0.181,0.001,0.02,30.5563,0.2,0.005,0.0278,,6.0,,,78.6245,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.427720731119734,2015,2
2015-02-23,WW_86,41.63131944,-87.5391,POINT (-87.5391 41.63131944),9.5,7.62,8.364,0.2,1.0,158.45,4.0,188.0,139.0,0.005,5.0,0.02,0.0192,4.5,5.0,626.0,0.47,0.175,0.001,0.02,37.12,0.2,0.005,0.0175,,6.0,,,69.94,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.435530499637226,2015,2
2015-02-23,WW_43,41.69633889,-87.93630833,POINT (-87.93630833 41.69633889),6.2,7.36,10.722,0.45,1.15,178.95,4.0,151.0,205.0,0.005,5.0,0.02,0.0272,4.4,5.0,956.0,0.66,0.208,0.001,0.02,38.33,0.2,0.005,0.0225,,6.0,,,91.33,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.437302965844195,2015,2
2015-02-23,WW_92,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),8.3,7.86,7.555,0.81,2.03,142.06,4.0,191.0,454.0,0.005,,0.02,0.0282,4.0,5.0,1122.0,0.74,0.205,0.001,0.02,31.48,0.2,0.0055,0.0257,,6.0,,,79.91,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03971026257585458,2015,2
2015-03-02,WW_91,41.59656667,-88.06853333,POINT (-88.06853333 41.59656667),12.5,,11.401,0.1,1.22,106.0,4.0,4.0,218.0,5.0,0.005,0.3,0.02,0.56,4.7,,340.0,0.0402,0.208,0.1,0.02,0.0353,0.005,0.0285,2.2480000000000003e-06,0.005,,,0.001,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.735017242890386,2015,3
2015-03-02,WW_92,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),8.0,7.3,8.085,1.12,2.06,133.76,5.0,4.0,179.0,5.0,0.005,5.1,0.02,0.72,5.1,,266.0,0.0202,0.183,0.1,0.02,0.0596,0.0069,0.0369,,0.005,,,0.001,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012609032699539861,2015,3
2015-03-09,WW_36,42.01193611,-87.71043611,POINT (-87.71043611 42.01193611),8.9,7.36,6.467,2.84,3.78,68.7,11.0,9.0,150.0,5.0,0.005,,0.02,0.61,5.3,,498.0,0.0276,0.143,0.1,0.02,0.0168,0.005,0.0334,,0.005,,,0.001,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126755917161386,2015,3
